code,id,market,flag
688122,1,SH,False
688121,1,SH,False
688120,1,SH,False
688119,1,SH,False
688118,1,SH,False
688117,1,SH,False
688116,1,SH,False
688115,1,SH,False
688114,1,SH,False
688113,1,SH,False
688112,1,SH,False
688111,1,SH,False
688110,1,SH,False
688109,1,SH,False
688108,1,SH,False
688107,1,SH,False
688106,1,SH,False
688105,1,SH,False
688103,1,SH,False
688102,1,SH,False
688101,1,SH,False
688100,1,SH,False
688099,1,SH,False
688098,1,SH,False
688097,1,SH,False
688096,1,SH,False
688095,1,SH,False
688093,1,SH,False
688092,1,SH,False
688091,1,SH,False
688090,1,SH,False
688089,1,SH,False
688088,1,SH,False
688087,1,SH,False
688086,1,SH,False
688085,1,SH,False
688084,1,SH,False
688083,1,SH,False
688082,1,SH,False
688081,1,SH,False
688080,1,SH,False
688079,1,SH,False
688078,1,SH,False
688077,1,SH,False
688076,1,SH,False
688075,1,SH,False
688073,1,SH,False
688072,1,SH,False
688071,1,SH,False
688070,1,SH,False
688069,1,SH,False
688068,1,SH,False
688067,1,SH,False
688066,1,SH,False
688065,1,SH,False
688063,1,SH,False
688062,1,SH,False
688061,1,SH,False
688060,1,SH,False
688059,1,SH,False
688058,1,SH,False
688057,1,SH,False
688056,1,SH,False
688055,1,SH,False
688053,1,SH,False
688052,1,SH,False
688051,1,SH,False
688050,1,SH,False
688049,1,SH,False
688048,1,SH,False
688047,1,SH,False
688046,1,SH,False
688045,1,SH,False
688041,1,SH,False
688039,1,SH,False
688038,1,SH,False
688037,1,SH,False
688036,1,SH,False
688035,1,SH,False
688033,1,SH,False
688032,1,SH,False
688031,1,SH,False
688030,1,SH,False
688029,1,SH,False
688028,1,SH,False
688027,1,SH,False
688026,1,SH,False
688025,1,SH,False
688023,1,SH,False
688022,1,SH,False
688021,1,SH,False
688020,1,SH,False
688019,1,SH,False
688018,1,SH,False
688017,1,SH,False
688016,1,SH,False
688015,1,SH,False
688013,1,SH,False
688012,1,SH,False
688011,1,SH,False
688010,1,SH,False
688009,1,SH,False
688008,1,SH,False
688007,1,SH,False
688006,1,SH,False
688005,1,SH,False
688004,1,SH,False
688003,1,SH,False
688002,1,SH,False
688001,1,SH,False
605599,1,SH,False
605598,1,SH,False
605589,1,SH,False
605588,1,SH,False
605580,1,SH,False
605577,1,SH,False
605567,1,SH,False
605566,1,SH,False
605555,1,SH,False
605507,1,SH,False
605500,1,SH,False
605499,1,SH,False
605488,1,SH,False
605399,1,SH,False
605398,1,SH,False
605389,1,SH,False
605388,1,SH,False
605378,1,SH,False
605377,1,SH,False
605376,1,SH,False
605369,1,SH,False
605368,1,SH,False
605366,1,SH,False
605365,1,SH,False
605358,1,SH,False
605339,1,SH,False
605338,1,SH,False
605337,1,SH,False
605336,1,SH,False
605333,1,SH,False
605319,1,SH,False
605318,1,SH,False
605305,1,SH,False
605303,1,SH,False
605300,1,SH,False
605299,1,SH,False
605298,1,SH,False
605296,1,SH,False
605289,1,SH,False
605288,1,SH,False
605287,1,SH,False
605286,1,SH,False
605277,1,SH,False
605268,1,SH,False
605266,1,SH,False
605259,1,SH,False
605258,1,SH,False
605255,1,SH,False
605228,1,SH,False
605222,1,SH,False
605218,1,SH,False
605208,1,SH,False
605199,1,SH,False
605198,1,SH,False
605196,1,SH,False
605189,1,SH,False
605188,1,SH,False
605186,1,SH,False
605183,1,SH,False
605180,1,SH,False
605179,1,SH,False
605178,1,SH,False
605177,1,SH,False
605169,1,SH,False
605168,1,SH,False
605167,1,SH,False
605166,1,SH,False
605162,1,SH,False
605158,1,SH,False
605155,1,SH,False
605151,1,SH,False
605138,1,SH,False
605136,1,SH,False
605133,1,SH,False
605128,1,SH,False
605123,1,SH,False
605122,1,SH,False
605118,1,SH,False
605117,1,SH,False
605116,1,SH,False
605111,1,SH,False
605108,1,SH,False
605100,1,SH,False
605099,1,SH,False
605098,1,SH,False
605090,1,SH,False
605089,1,SH,False
605088,1,SH,False
605086,1,SH,False
605081,1,SH,False
605080,1,SH,False
605077,1,SH,False
605069,1,SH,False
605068,1,SH,False
605066,1,SH,False
605060,1,SH,False
605058,1,SH,False
605056,1,SH,False
605055,1,SH,False
605050,1,SH,False
605033,1,SH,False
605028,1,SH,False
605020,1,SH,False
605018,1,SH,False
605016,1,SH,False
605011,1,SH,False
605009,1,SH,False
605008,1,SH,False
605007,1,SH,False
605006,1,SH,False
605005,1,SH,False
605003,1,SH,False
605001,1,SH,False
603999,1,SH,False
603998,1,SH,False
603997,1,SH,False
603996,1,SH,False
603995,1,SH,False
603993,1,SH,False
603992,1,SH,False
603991,1,SH,False
603990,1,SH,False
603989,1,SH,False
603988,1,SH,False
603987,1,SH,False
603986,1,SH,False
603985,1,SH,False
603983,1,SH,False
603982,1,SH,False
603980,1,SH,False
603979,1,SH,False
603978,1,SH,False
603977,1,SH,False
603976,1,SH,False
603970,1,SH,False
603969,1,SH,False
603968,1,SH,False
603967,1,SH,False
603966,1,SH,False
603963,1,SH,False
603960,1,SH,False
603959,1,SH,False
603958,1,SH,False
603956,1,SH,False
603955,1,SH,False
603950,1,SH,False
603949,1,SH,False
603948,1,SH,False
603939,1,SH,False
603938,1,SH,False
603937,1,SH,False
603936,1,SH,False
603933,1,SH,False
603931,1,SH,False
603929,1,SH,False
603928,1,SH,False
603927,1,SH,False
603926,1,SH,False
603922,1,SH,False
603920,1,SH,False
603919,1,SH,False
603918,1,SH,False
603917,1,SH,False
603916,1,SH,False
603915,1,SH,False
603912,1,SH,False
603909,1,SH,False
603908,1,SH,False
603906,1,SH,False
603903,1,SH,False
603901,1,SH,False
603900,1,SH,False
603899,1,SH,False
